"","K","eta_hunt","eta_nat","theta","gamma","alpha_max","ksi","omega","s","beta","p1","p2_q1","p2_q2","p2_q3","p2_q4","phi","sigma1_mean","sigma1_rate","start_q","S_0","E1_0","SuperS_0","SuperE1_0","I_0","SuperI_0"
"21",59,0.001408,0.00086,15.747503,0.00069,1.052948,0.967289,9.939575,69.05835,0.00958,1,0,0,0,0,3.779424,571.654104,5.416236,1,2,2,55,0,0,0
"22",197,0.209007,0.038937,19.949771,0.071039,1.085955,0.154828,11.260553,61.925538,0.0122,1,0,0,0,0,5.521947,456.170658,5.461994,1,164,4,29,0,0,0
"23",108,0.010029,0.038991,1.079088,0.068365,0.964785,0.103713,10.952602,70.946705,0.248672,1,0,0,0,0,49.05163,55.258398,0.98943,1,95,3,10,0,0,0
"24",598,0.068644,0.004221,9.756575,0.01532,1.074787,0.953106,9.458568,74.205765,0.017588,1,0,0,0,0,0.368358,4.083377,1.562885,1,28,12,558,0,0,0
"25",881,0.59532,0.003508,19.689326,0.064808,0.904876,0.579186,9.532201,74.475599,0.024348,1,0,0,0,0,1.992331,133.967836,0.666134,1,364,18,499,0,0,0
"26",917,0.768004,0.0083,15.361305,0.017009,1.0979,0.111104,11.249258,71.661082,0.025103,1,0,0,0,0,3.726915,596.546892,4.259106,1,799,19,99,0,0,0
"27",93,0.458605,0.002474,6.391898,0.051208,0.99353,0.077805,9.591186,73.520615,0.007631,1,0,0,0,0,38.985291,284.16745,5.211818,1,84,2,7,0,0,0
"28",718,0.451688,0.020505,2.434957,0.010627,0.920958,0.985238,11.086178,61.987528,0.028574,1,0,0,0,0,0.683043,28.883337,0.449901,1,11,15,692,0,0,0
"29",158,0.126632,0.004465,7.787687,0.030728,1.039274,0.642856,9.586385,74.799796,0.019188,1,0,0,0,0,48.064477,42.688468,5.902294,1,56,4,98,0,0,0
"30",784,0.98841,0.034674,2.129097,0.062581,0.996698,0.018246,9.40453,73.866299,0.087912,1,0,0,0,0,3.157891,589.512478,5.861957,1,754,16,14,0,0,0
"31",898,0.250343,0.002864,18.100978,0.078854,1.079934,0.139385,10.050094,73.593644,0.00118,1,0,0,0,0,7.168709,555.225734,4.413441,1,758,18,122,0,0,0
"32",825,0.029948,0.006569,0.785749,0.044656,1.049893,0.984778,11.184394,74.730597,0.003003,1,0,0,0,0,15.390149,10.326739,5.560641,1,13,17,795,0,0,0
"33",238,0.032984,0.038611,0.664049,0.035177,0.979094,0.016564,10.272623,61.281632,0.16269,1,0,0,0,0,45.677566,525.959379,5.26654,1,230,5,3,0,0,0
"34",69,0.669252,0.040414,0.998523,0.078049,0.972439,0.998759,10.822427,72.157297,0.025902,1,0,0,0,0,3.420934,239.988899,4.385799,1,1,2,66,0,0,0
"35",561,0.09775,0.005716,9.629095,0.050931,0.901192,0.178879,9.491671,74.03642,0.204822,1,0,0,0,0,42.628676,224.953429,5.58757,1,451,12,98,0,0,0
"36",948,0.973676,0.00593,6.332196,0.000374,1.093715,0.931165,10.202821,74.245834,0.135688,1,0,0,0,0,36.779432,505.753913,5.846612,1,64,19,865,0,0,0
"37",144,0.018011,0.034248,3.157856,0.079119,1.071455,0.132221,11.206471,62.952893,0.017371,1,0,0,0,0,42.291731,527.61881,4.19133,1,123,3,18,0,0,0
"38",147,0.084453,0.001515,0.938408,0.066109,0.967759,0.198537,10.000732,73.746375,0.080064,1,0,0,0,0,44.699864,553.199818,5.910022,1,116,3,28,0,0,0
"39",532,0.306789,0.021548,6.920489,0.008127,1.098103,0.107953,10.816659,62.05643,0.186724,1,0,0,0,0,11.648109,517.02528,1.290563,1,465,11,56,0,0,0
"40",747,0.234439,0.041309,0.025037,0.056139,1.058143,0.02699,11.235885,72.300969,0.213933,1,0,0,0,0,49.38707,506.908383,2.263664,1,713,15,19,0,0,0
"41",72,0.017825,0.029102,1.082132,0.010985,1.079069,0.099484,10.221305,68.678813,0.009987,1,0,0,0,0,9.44397,112.69565,4.844844,1,64,2,6,0,0,0
"42",574,0.640775,0.026741,18.238825,0.05789,1.077053,0.029082,9.482034,61.477905,0.228378,1,0,0,0,0,39.862199,411.679639,0.329193,1,546,12,16,0,0,0
"43",777,0.58091,0.027208,0.213987,0.061004,1.091645,0.991919,11.17887,70.839661,0.103166,1,0,0,0,0,0.861152,185.26721,5.879406,1,7,16,754,0,0,0
"44",378,0.180447,0.040862,3.594287,0.05699,1.033068,0.143886,9.299271,61.693315,0.244898,1,0,0,0,0,0.936167,549.891868,5.640475,1,317,8,53,0,0,0
"45",86,0.04268,0.009585,19.866567,0.005777,1.09829,0.004797,9.954628,70.906095,0.244076,1,0,0,0,0,5.341697,109.309987,4.677382,1,84,2,0,0,0,0
"47",51,0.851054,0.036977,18.215007,0.082949,1.051782,0.23809,11.300579,61.200989,0.233444,1,0,0,0,0,48.154397,548.299788,0.772639,1,38,2,11,0,0,0
"48",409,0.961804,0.012134,19.224676,0.058572,0.909093,0.746813,10.086071,72.892538,0.010155,1,0,0,0,0,0.646801,59.343664,5.47844,1,102,9,298,0,0,0
"49",960,0.950922,0.036235,3.398224,0.041238,1.086219,0.915946,11.224372,61.373039,0.079314,1,0,0,0,0,39.354091,41.769047,0.788366,1,80,20,860,0,0,0
"50",57,0.178331,0.041143,1.212372,0.04231,1.094589,0.157011,10.861897,71.271741,0.050134,1,0,0,0,0,32.421493,591.817829,5.570488,1,47,2,8,0,0,0
"51",991,0.075548,0.012106,17.861811,0.070024,1.060718,0.095743,9.474715,74.416137,0.2321,1,0,0,0,0,6.095337,89.062176,3.319749,1,879,20,92,0,0,0
"52",917,0.85558,0.027997,13.833898,0.057243,0.925101,0.427524,9.948456,63.118608,0.215275,1,0,0,0,0,33.150556,313.756186,1.719752,1,515,19,383,0,0,0
"53",397,0.047867,0.03206,1.364614,0.079774,1.066253,0.025302,9.806949,63.378093,0.102275,1,0,0,0,0,24.94644,580.122891,4.716876,1,380,8,9,0,0,0
"54",138,0.152631,0.003389,9.792139,0.04165,1.056867,0.033666,10.429496,71.750941,0.016632,1,0,0,0,0,35.434122,484.26852,3.630526,1,131,3,4,0,0,0
"55",881,0.321073,0.04025,0.425481,0.059419,1.069236,0.18037,10.98323,61.544943,0.24519,1,0,0,0,0,0.840673,32.729597,0.340289,1,708,18,155,0,0,0
"56",276,0.378426,0.022233,13.994691,0.08284,0.932446,0.257734,11.021512,61.450098,0.180674,1,0,0,0,0,20.929877,67.969088,1.200129,1,201,6,69,0,0,0
"57",123,0.793992,0.031831,16.790535,0.008242,1.067124,0.299415,9.900937,62.238149,0.221434,1,0,0,0,0,47.410711,394.814349,0.077228,1,85,3,35,0,0,0
"58",291,0.461614,0.029856,17.215384,0.0067,0.955841,0.869256,11.129505,65.964461,0.089509,1,0,0,0,0,7.768931,563.039453,5.147158,1,38,6,247,0,0,0
"59",146,0.624712,0.032821,18.155334,0.057531,0.906117,0.001846,9.335972,61.852643,0.215895,1,0,0,0,0,1.514243,344.31454,5.361182,1,143,3,0,0,0,0
"60",725,0.457199,0.017841,13.406036,0.082269,0.904259,0.322731,9.361832,61.332471,0.1558,1,0,0,0,0,5.697969,86.979874,1.266863,1,481,15,229,0,0,0
"61",817,0.222344,0.040977,7.025144,0.007888,1.07737,0.26738,10.85745,69.34381,0.016751,1,0,0,0,0,48.637496,267.546402,0.052398,1,587,17,213,0,0,0
"62",159,0.007037,0.011015,13.155675,0.078389,0.916603,0.222599,10.470712,73.300076,0.037402,1,0,0,0,0,48.148502,20.729606,1.934508,1,121,4,34,0,0,0
"63",116,0.083137,0.012075,13.324395,0.001112,1.094264,0.034938,9.737908,74.365616,0.018185,1,0,0,0,0,1.918183,451.644274,5.75659,1,110,3,3,0,0,0
"64",241,0.993139,0.037452,8.17368,0.010241,1.035784,0.065382,9.284922,63.020582,0.211692,1,0,0,0,0,32.899392,188.703515,0.178114,1,221,5,15,0,0,0
"65",846,0.530724,0.004192,2.654934,0.014751,1.011347,0.820264,9.751541,61.414876,0.005151,1,0,0,0,0,16.104879,139.88668,0.442045,1,150,17,679,0,0,0
"66",785,0.262988,0.005677,15.984223,0.076191,1.077539,0.419786,9.892924,74.153346,0.24172,1,0,0,0,0,4.418979,91.83062,0.967713,1,447,16,322,0,0,0
"67",934,0.548211,0.000209,9.950943,0.026213,1.038476,0.011533,11.189794,62.634829,0.027862,1,0,0,0,0,28.953222,333.62817,4.723626,1,905,19,10,0,0,0
"68",615,0.110508,0.011428,15.069605,0.063481,0.942501,0.522558,10.750006,67.909463,0.219856,1,0,0,0,0,0.987886,433.113308,4.966839,1,288,13,314,0,0,0
"69",474,0.903467,0.041597,1.754174,0.050857,1.081061,0.314803,9.368608,65.183554,0.055755,1,0,0,0,0,44.112583,16.090292,0.461015,1,318,10,146,0,0,0
"70",411,0.585838,0.021254,17.73867,0.081334,1.070115,0.283911,9.38403,73.900336,0.159909,1,0,0,0,0,21.810961,336.499973,3.159527,1,288,9,114,0,0,0
"71",624,0.199552,0.040122,0.82421,0.082102,0.905738,0.109918,11.217475,68.723787,0.24638,1,0,0,0,0,1.26019,79.70386,5.619158,1,544,13,67,0,0,0
"72",496,0.2313,0.004986,16.419155,0.002511,1.009291,0.14176,9.413563,63.111584,0.007498,1,0,0,0,0,3.017844,186.043977,4.020956,1,418,10,68,0,0,0
"73",308,0.475027,0.009357,15.620887,0.00436,0.946122,0.470363,10.715791,62.223819,0.028181,1,0,0,0,0,11.66904,122.497649,0.853517,1,160,7,141,0,0,0
"74",584,0.318752,0.00093,8.511286,0.03795,1.094649,0.943641,9.726425,74.184667,0.206657,1,0,0,0,0,21.394833,529.004937,0.82382,1,33,12,539,0,0,0
"75",877,0.750785,0.014981,15.243218,0.000788,0.981291,0.924502,9.835377,72.400306,0.029028,1,0,0,0,0,4.853391,27.433944,3.986028,1,65,18,794,0,0,0
"76",654,0.264001,0.036202,2.476756,0.080979,1.04561,0.114748,11.243375,63.809445,0.010989,1,0,0,0,0,49.242065,90.660299,1.027256,1,567,14,73,0,0,0
"77",151,0.005363,0.000579,1.526443,0.053969,0.960682,0.062176,9.905267,64.121151,0.201453,1,0,0,0,0,42.562217,457.725932,5.855492,1,138,4,9,0,0,0
"78",570,0.204547,0.039941,2.012885,0.001915,0.977109,0.560326,11.037935,62.809838,0.101851,1,0,0,0,0,5.880478,325.148094,2.488425,1,246,12,312,0,0,0
"79",233,0.080725,0.006473,1.146209,0.078125,1.089966,0.153254,11.328193,61.262189,0.201527,1,0,0,0,0,48.740813,75.97344,5.888317,1,194,5,34,0,0,0
"80",625,0.418932,0.013034,13.741382,0.055271,0.966029,0.805525,9.325643,68.246684,0.039416,1,0,0,0,0,10.355936,167.796315,0.427647,1,120,13,492,0,0,0
"81",505,0.921557,0.037253,17.317825,0.004758,1.025337,0.446851,10.388094,68.627563,0.247532,1,0,0,0,0,45.564261,311.685865,4.392611,1,274,11,220,0,0,0
"82",946,0.112191,0.030404,9.032397,0.017856,1.031442,0.187129,11.15932,65.045189,0.221775,1,0,0,0,0,3.051038,35.690727,0.792488,1,754,19,173,0,0,0
"83",256,0.805689,0.002798,4.371133,0.005969,1.064444,0.81803,10.035997,61.653229,0.123017,1,0,0,0,0,22.680899,199.949679,0.896879,1,46,6,204,0,0,0
"84",56,0.054119,0.041547,1.635552,0.012262,0.978276,0.16272,11.180235,63.49129,0.204379,1,0,0,0,0,28.626495,22.650619,4.905064,1,46,2,8,0,0,0
"85",82,0.292886,0.022041,1.382746,0.025496,0.997035,0.177044,10.214621,64.608114,0.031041,1,0,0,0,0,46.005086,14.430055,5.153333,1,66,2,14,0,0,0
"86",193,0.505388,0.003447,18.125228,0.066254,1.055273,0.6588,10.962312,74.632567,0.036089,1,0,0,0,0,8.194943,522.232797,0.599355,1,65,4,124,0,0,0
"87",134,0.197384,0.035615,17.421759,0.033563,1.09107,0.144292,10.921433,64.884265,0.15476,1,0,0,0,0,19.115271,52.41404,4.016312,1,113,3,18,0,0,0
"88",714,0.664449,0.021076,18.749377,0.021927,1.03969,0.586476,9.527647,73.37832,0.088691,1,0,0,0,0,38.894132,130.9381,4.2039,1,290,15,409,0,0,0
"89",214,0.087803,0.035737,11.665355,0.038293,0.911423,0.038022,10.278599,70.438652,0.097413,1,0,0,0,0,41.455134,234.163841,0.502787,1,202,5,7,0,0,0
"90",660,0.28409,0.033954,14.239596,0.060463,1.033282,0.418118,10.325499,69.777765,0.249966,1,0,0,0,0,36.18069,5.452123,4.919339,1,376,14,270,0,0,0
"91",487,0.232391,0.041263,17.799607,0.049795,0.941664,0.979024,9.608214,61.577239,0.02452,1,0,0,0,0,2.42922,42.200796,0.277666,1,11,10,466,0,0,0
"92",830,0.359376,0.000691,15.788272,0.012489,0.922298,0.559102,9.289264,68.940941,0.072876,1,0,0,0,0,0.547664,204.609873,4.408563,1,359,17,454,0,0,0
"93",501,0.100563,0.008351,9.334132,0.077293,0.917001,0.216159,11.255422,72.269523,0.02772,1,0,0,0,0,45.86048,216.347692,1.431615,1,385,11,105,0,0,0
"94",194,0.109617,0.040266,0.318663,0.073384,0.929485,0.265236,11.159011,66.299397,0.044372,1,0,0,0,0,16.480246,142.13224,0.913591,1,140,4,50,0,0,0
"95",289,0.045143,0.024163,3.243647,0.017459,1.053006,0.059708,10.574119,66.557406,0.048072,1,0,0,0,0,35.794317,116.964816,5.246812,1,267,6,16,0,0,0
"96",482,0.844609,0.032199,14.753023,0.080219,0.994072,0.052716,9.723326,67.442421,0.073183,1,0,0,0,0,14.413171,0.70684,5.581056,1,448,10,24,0,0,0
"97",904,0.15019,0.010992,5.787617,0.020124,1.06802,0.887769,10.854627,74.577792,0.044872,1,0,0,0,0,7.344268,108.06108,2.832566,1,100,19,785,0,0,0
"98",101,0.167232,0.008146,7.940216,0.061662,1.092669,0.312231,9.653009,62.202038,0.234659,1,0,0,0,0,3.917465,329.155823,5.169807,1,68,3,30,0,0,0
"99",152,0.000173,0.041212,2.696926,0.055398,1.038719,0.572929,9.526159,74.321237,0.043571,1,0,0,0,0,42.222447,250.180168,5.419828,1,64,4,84,0,0,0
"100",556,0.093816,0.017578,19.761104,0.018853,0.962397,0.962753,11.003739,69.792231,0.024881,1,0,0,0,0,4.137903,501.77794,2.909835,1,21,12,523,0,0,0
"101",681,0.012236,0.001589,5.804894,0.007321,1.008195,0.646001,11.063016,71.706554,0.24967,1,0,0,0,0,5.11392,572.083426,2.27402,1,237,14,430,0,0,0
"102",648,0.166516,0.009914,18.410922,0.014226,1.096934,0.684701,10.135759,72.136967,0.020708,1,0,0,0,0,37.791335,477.398514,1.463245,1,201,13,434,0,0,0
"103",143,0.079664,0.033914,8.479465,0.075513,0.940182,0.07442,10.898893,63.311446,0.103675,1,0,0,0,0,41.082828,440.02512,5.615314,1,130,3,10,0,0,0
"104",476,0.443334,0.021746,0.142505,0.083029,1.070438,0.240182,9.888903,70.025998,0.233002,1,0,0,0,0,49.267827,578.517076,5.430389,1,355,10,111,0,0,0
"105",998,0.614069,0.002958,13.852248,0.024156,1.087058,0.527672,9.333484,65.323201,0.101043,1,0,0,0,0,5.173808,97.367327,0.047443,1,462,20,516,0,0,0
"106",836,0.436381,0.039897,3.286899,0.031989,0.961604,0.543325,11.083649,69.06414,0.18925,1,0,0,0,0,15.539884,144.318094,1.817807,1,375,17,444,0,0,0
"107",52,0.879348,0.033986,3.091143,0.071155,0.9776,0.655571,9.502421,64.676418,0.017823,1,0,0,0,0,36.470798,467.916299,4.524305,1,18,2,32,0,0,0
"108",907,0.062108,0.007037,18.623396,0.056723,1.081813,0.868533,9.733755,73.40594,0.020823,1,0,0,0,0,47.392942,158.540077,1.272905,1,117,19,771,0,0,0
"109",107,0.379423,0.036258,8.435532,0.016636,1.041304,0.075066,11.305203,73.258634,0.053179,1,0,0,0,0,40.147712,198.074527,3.601022,1,97,3,7,0,0,0
"110",780,0.333379,0.010688,3.89507,0.04293,0.960555,0.433621,10.099732,72.695699,0.112449,1,0,0,0,0,26.080275,84.580288,5.724667,1,433,16,331,0,0,0
"111",181,0.868949,0.013823,3.035963,0.023347,0.901491,0.932155,9.861567,64.325801,0.245735,1,0,0,0,0,33.665475,12.095399,0.729956,1,13,4,164,0,0,0
"112",326,0.024679,0.010482,13.76087,0.075227,0.906417,0.430239,9.600908,74.454568,0.081863,1,0,0,0,0,0.043548,328.123121,3.834493,1,182,7,137,0,0,0
"113",779,0.817087,0.038806,10.88718,0.012748,1.039138,0.067005,9.791134,71.420941,0.002087,1,0,0,0,0,28.298872,576.26624,5.294395,1,712,16,51,0,0,0
"114",136,0.431993,0.023106,9.304236,0.078608,0.984021,0.593919,11.252259,72.978403,0.012495,1,0,0,0,0,2.079684,7.230116,4.16843,1,55,3,78,0,0,0
"115",850,0.565142,0.027796,13.080561,0.000193,1.096448,0.42011,9.799816,72.356975,0.088457,1,0,0,0,0,2.807111,392.356951,5.921599,1,484,17,349,0,0,0
"116",756,0.257216,0.037616,16.572877,0.000121,0.945626,0.487048,10.946469,62.803574,0.011615,1,0,0,0,0,1.013399,318.24146,4.349547,1,380,16,360,0,0,0
"117",426,0.703433,0.038186,2.516506,0.022131,0.995436,0.02152,9.482459,73.039298,0.07819,1,0,0,0,0,1.722557,153.37013,5.784391,1,409,9,8,0,0,0
"118",293,0.859953,0.039778,17.711789,0.081615,1.071142,0.197517,10.887723,67.674621,0.248017,1,0,0,0,0,31.332873,327.062932,0.322697,1,231,6,56,0,0,0
"119",104,0.238031,0.006316,18.723334,0.016451,0.909946,0.353933,10.657481,70.243932,0.053541,1,0,0,0,0,9.963585,587.823507,3.284681,1,66,3,35,0,0,0
"120",582,0.108922,0.013187,14.682658,0.07719,1.074449,0.133411,11.282854,71.886932,0.029352,1,0,0,0,0,49.991125,246.015649,2.930825,1,494,12,76,0,0,0
"121",258,0.683237,0.007046,17.36622,0.082369,1.051017,0.325781,9.536406,72.04713,0.002344,1,0,0,0,0,47.785809,139.043719,1.906796,1,170,6,82,0,0,0
"122",161,0.006161,0.023673,12.894393,0.037607,0.917649,0.609842,11.191262,73.83244,0.007904,1,0,0,0,0,31.652056,415.032895,0.468193,1,62,4,95,0,0,0
"123",130,0.016883,0.041102,19.270336,0.080066,1.093544,0.023497,9.380496,74.325461,0.148452,1,0,0,0,0,20.670346,265.784192,3.619489,1,125,3,2,0,0,0
"124",689,0.863155,0.039617,13.618359,0.037541,1.079232,0.348745,9.72192,72.724716,0.062357,1,0,0,0,0,0.189518,450.861788,5.732034,1,440,14,235,0,0,0
"125",188,0.983573,0.030075,1.558486,0.041021,1.063289,0.489665,10.907929,72.01326,0.000387,1,0,0,0,0,33.746843,241.022009,5.984211,1,94,4,90,0,0,0
"126",814,0.781327,0.03064,7.435838,0.022202,1.007162,0.284012,9.711846,74.390347,0.064985,1,0,0,0,0,11.096213,551.689808,5.742674,1,571,17,226,0,0,0
"127",853,0.550287,0.029383,18.186799,0.025664,1.091876,0.504749,11.31172,66.395244,0.066707,1,0,0,0,0,0.48741,566.313349,5.883977,1,414,18,421,0,0,0
"128",251,0.271636,0.018302,14.018331,0.016272,1.050748,0.030129,9.732483,73.36987,0.006328,1,0,0,0,0,42.539048,152.643079,1.704477,1,238,6,7,0,0,0
"129",129,0.5608,0.03909,7.014233,0.017984,0.909739,0.220684,10.477755,65.426236,0.014529,1,0,0,0,0,48.390373,312.730003,4.861359,1,99,3,27,0,0,0
"130",743,0.316544,0.030815,8.886586,0.004207,0.924718,0.963192,10.144597,67.265888,0.118798,1,0,0,0,0,17.13035,590.08216,5.712696,1,27,15,701,0,0,0
"131",847,0.217035,0.023051,19.182975,0.01858,1.01427,0.710227,9.983133,72.835322,0.047556,1,0,0,0,0,16.386359,540.511156,4.065948,1,241,17,589,0,0,0
"132",650,0.891512,0.004672,17.920904,0.06565,1.028113,0.117394,9.801501,73.145819,0.225774,1,0,0,0,0,2.264844,509.824964,4.801062,1,563,13,74,0,0,0
"133",596,0.749643,0.015048,12.235361,0.012501,0.944065,0.326228,9.604649,71.789483,0.242934,1,0,0,0,0,26.144353,372.129896,5.772813,1,394,12,190,0,0,0
"134",94,0.337728,0.036573,1.17076,0.045136,0.924048,0.25129,9.522557,70.664097,0.052049,1,0,0,0,0,48.459394,80.642895,3.41758,1,69,2,23,0,0,0
"135",182,0.724495,0.010343,3.447715,0.016372,0.999708,0.105992,10.349332,61.951093,0.224824,1,0,0,0,0,0.13933,420.72979,5.808577,1,160,4,18,0,0,0
"136",163,0.850946,0.013417,1.411614,0.015806,0.932326,0.85967,10.979729,65.789604,0.2302,1,0,0,0,0,16.04365,435.505814,5.337854,1,23,4,136,0,0,0
"137",944,0.124188,0.007264,9.706329,0.051808,0.926753,0.926211,9.567894,62.689136,0.094493,1,0,0,0,0,46.87865,164.034734,0.903302,1,69,19,856,0,0,0
"138",804,0.025535,0.037869,3.349154,0.045392,1.073555,0.226679,9.975245,63.872708,0.081181,1,0,0,0,0,9.785,400.296167,5.932101,1,609,17,178,0,0,0
"139",441,0.642729,0.021409,7.114362,0.035088,1.061238,0.046777,11.068417,74.690194,0.022795,1,0,0,0,0,20.356512,105.99085,5.607893,1,412,9,20,0,0,0
"140",492,0.190379,0.040911,4.407303,0.042161,1.035002,0.332197,9.687795,63.641756,0.18166,1,0,0,0,0,4.322225,594.779074,5.116558,1,322,10,160,0,0,0
"141",283,0.243914,0.037008,7.219933,0.025907,1.069856,0.097661,11.327337,61.891528,0.174483,1,0,0,0,0,40.732172,38.129462,5.925053,1,250,6,27,0,0,0
"142",142,0.98497,0.014031,14.02791,0.006954,1.089074,0.438182,10.766635,66.96878,0.032258,1,0,0,0,0,12.837359,528.092892,1.208416,1,79,3,60,0,0,0
"143",149,0.085992,0.038563,4.434017,0.034881,1.04905,0.356867,11.054667,72.506914,0.231866,1,0,0,0,0,10.259312,309.556608,1.583559,1,94,3,52,0,0,0
"144",494,0.352829,0.036634,6.760578,0.004559,1.091491,0.305006,9.695349,71.997348,0.189448,1,0,0,0,0,9.737152,543.820843,4.505478,1,337,10,147,0,0,0
"145",999,0.699875,0.015468,6.511465,0.049171,0.916567,0.404871,9.820669,63.847054,0.09813,1,0,0,0,0,0.320932,553.616604,1.609758,1,583,20,396,0,0,0
"146",978,0.367411,0.034451,9.828518,0.073826,1.084405,0.968309,11.007896,64.49261,0.164986,1,0,0,0,0,25.893767,493.898436,0.371999,1,31,20,927,0,0,0
"147",971,0.215059,0.040695,8.834182,0.038587,0.94877,0.837055,9.583777,73.706037,0.023967,1,0,0,0,0,24.609023,252.652952,5.59661,1,155,20,796,0,0,0
"148",131,0.721897,0.00589,15.900967,0.074639,1.08225,0.17919,10.276056,69.36281,0.169987,1,0,0,0,0,39.956637,143.065574,0.092169,1,106,3,22,0,0,0
"149",849,0.707126,0.022478,0.095399,0.036253,1.0557,0.338536,9.92669,65.28163,0.183061,1,0,0,0,0,39.234469,399.358738,0.60804,1,551,17,281,0,0,0
"150",212,0.089922,0.03721,3.189116,0.043719,1.008309,0.080237,10.762529,62.010151,0.170342,1,0,0,0,0,43.049201,119.524744,4.580686,1,191,5,16,0,0,0
"152",54,0.056932,0.014922,5.302024,0.072249,1.011615,0.259192,11.323223,73.431885,0.030283,1,0,0,0,0,13.782013,62.086103,5.992697,1,39,2,13,0,0,0
"153",407,0.809468,0.038287,16.600604,0.043016,1.085293,0.769166,10.051003,70.596788,0.120106,1,0,0,0,0,41.31389,7.187366,5.840685,1,92,9,306,0,0,0
"154",75,0.037324,0.006218,15.086792,0.012383,1.062418,0.344827,10.659907,72.477786,0.065539,1,0,0,0,0,48.542202,459.631862,5.682051,1,48,2,25,0,0,0
"155",661,0.874423,0.022199,17.336978,0.075755,1.059489,0.663567,9.422054,61.381755,0.061056,1,0,0,0,0,43.918973,339.399013,3.393253,1,218,14,429,0,0,0
"156",247,0.188905,0.033122,17.447384,0.001235,0.971392,0.152626,10.180106,72.80465,0.125099,1,0,0,0,0,15.811939,480.7509,5.521609,1,206,5,36,0,0,0
"157",71,0.028736,0.005044,19.70616,0.074179,0.957249,0.930975,9.702024,63.86259,0.211841,1,0,0,0,0,41.760824,129.406872,1.342727,1,5,2,64,0,0,0
